gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"ADORA1"	1552
"ADORA2A"	48
"ADORA2A-AS1"	0
"ADORA2B"	77
"ADORA3"	79
"ADPGK"	439
"ADPGK-AS1"	9
"ADPRH"	59
"ADPRHL1"	151
"ADPRHL2"	298
"ADPRM"	112
"ADRA1A"	752
"ADRA1B"	285
"ADRA1D"	106
"ADRA2A"	102
"ADRA2B"	32
"ADRA2C"	122
"ADRB1"	303
"ADRB2"	137
"ADRB3"	6
"ADRM1"	1037
"ADSL"	281
"ADSS"	1072
"ADSSL1"	101
"ADTRP"	128
"AEBP1"	915
"AEBP2"	1130
"AEN"	149
"AES"	5890
"AFAP1"	1076
"AFAP1-AS1"	30
"AFAP1L1"	78
"AFAP1L2"	726
"AFDN"	4175
"AFDN-DT"	21
"AFF1"	1780
"AFF1-AS1"	77
"AFF2"	1003
"AFF3"	2144
"AFF4"	5078
"AFG1L"	291
"AFG3L1P"	307
"AFG3L2"	1638
"AFM"	0
"AFMID"	707
"AFP"	1
"AFTPH"	1598
"AGA"	169
"AGAP1"	7117
"AGAP1-IT1"	39
"AGAP11"	75
"AGAP12P"	76
"AGAP2"	7980
"AGAP2-AS1"	30
"AGAP3"	3691
"AGAP4"	280
"AGAP5"	117
"AGAP6"	268
"AGAP7P"	6
"AGAP9"	132
"AGBL1"	13
"AGBL1-AS1"	0
"AGBL2"	13
"AGBL3"	79
"AGBL4"	559
"AGBL4-IT1"	40
"AGBL5"	358
"AGBL5-AS1"	1
"AGER"	78
"AGFG1"	2566
"AGFG2"	752
"AGGF1"	1530
"AGK"	940
"AGL"	1263
"AGMAT"	78
"AGMO"	12
"AGO1"	2197
"AGO2"	2833
"AGO3"	891
"AGO4"	1056
"AGPAT1"	1711
"AGPAT2"	123
"AGPAT3"	3454
"AGPAT4"	2908
"AGPAT4-IT1"	250
"AGPAT5"	849
"AGPS"	1146
"AGR2"	1
"AGR3"	0
"AGRN"	2471
"AGRP"	0
"AGT"	2714
"AGTPBP1"	4082
"AGTR1"	5
"AGTR2"	0
"AGTRAP"	124
"AGXT"	0
"AGXT2"	0
"AHCTF1"	1991
"AHCTF1P1"	8
"AHCY"	1016
"AHCYL1"	6380
"AHCYL2"	2087
"AHDC1"	1588
"AHI1"	2385
"AHNAK"	11527
"AHNAK2"	4647
"AHR"	822
"AHRR"	146
"AHSA1"	2582
"AHSA2P"	1508
"AHSG"	8
"AHSP"	0
"AICDA"	0
"AIDA"	1223
"AIF1"	130
"AIF1L"	3015
"AIFM1"	422
"AIFM2"	221
"AIFM3"	1132
"AIG1"	892
"AIM2"	6
"AIMP1"	344
"AIMP2"	156
"AIP"	766
"AIPL1"	2
"AIRE"	40
"AIRN"	0
"AJAP1"	1154
"AJM1"	607
"AJUBA"	32
"AK1"	994
"AK2"	1281
"AK3"	1217
"AK4"	1591
"AK5"	8599
"AK6"	177
"AK7"	83
"AK8"	52
"AK9"	489
"AKAIN1"	37
"AKAP1"	1646
"AKAP10"	1074
"AKAP11"	9871
"AKAP12"	8906
"AKAP13"	2531
"AKAP14"	1
"AKAP17A"	460
"AKAP2"	1320
"AKAP3"	65
"AKAP4"	0
"AKAP5"	1579
"AKAP6"	10455
"AKAP7"	483
"AKAP8"	544
