gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-28_S8.bam
"ADNP-AS1"	11
"ADNP2"	1198
"ADO"	1084
"ADORA1"	1100
"ADORA2A"	122
"ADORA2A-AS1"	1
"ADORA2B"	144
"ADORA3"	110
"ADPGK"	625
"ADPGK-AS1"	5
"ADPRH"	80
"ADPRHL1"	229
"ADPRHL2"	345
"ADPRM"	211
"ADRA1A"	1041
"ADRA1B"	229
"ADRA1D"	23
"ADRA2A"	105
"ADRA2B"	34
"ADRA2C"	79
"ADRB1"	532
"ADRB2"	110
"ADRB3"	15
"ADRM1"	799
"ADSL"	430
"ADSS"	1255
"ADSSL1"	95
"ADTRP"	50
"AEBP1"	1056
"AEBP2"	1601
"AEN"	276
"AES"	6018
"AFAP1"	1643
"AFAP1-AS1"	70
"AFAP1L1"	155
"AFAP1L2"	762
"AFDN"	4793
"AFDN-DT"	30
"AFF1"	3284
"AFF1-AS1"	53
"AFF2"	1480
"AFF3"	3254
"AFF4"	8112
"AFG1L"	428
"AFG3L1P"	390
"AFG3L2"	2004
"AFM"	0
"AFMID"	808
"AFP"	2
"AFTPH"	2012
"AGA"	174
"AGAP1"	10371
"AGAP1-IT1"	68
"AGAP11"	126
"AGAP12P"	18
"AGAP2"	9263
"AGAP2-AS1"	23
"AGAP3"	3775
"AGAP4"	378
"AGAP5"	105
"AGAP6"	287
"AGAP7P"	9
"AGAP9"	148
"AGBL1"	51
"AGBL1-AS1"	0
"AGBL2"	12
"AGBL3"	101
"AGBL4"	698
"AGBL4-IT1"	58
"AGBL5"	340
"AGBL5-AS1"	1
"AGER"	48
"AGFG1"	3559
"AGFG2"	972
"AGGF1"	1658
"AGK"	1145
"AGL"	2332
"AGMAT"	68
"AGMO"	11
"AGO1"	3244
"AGO2"	3777
"AGO3"	1251
"AGO4"	1836
"AGPAT1"	1710
"AGPAT2"	129
"AGPAT3"	4345
"AGPAT4"	3324
"AGPAT4-IT1"	368
"AGPAT5"	1326
"AGPS"	1602
"AGR2"	0
"AGR3"	1
"AGRN"	2417
"AGRP"	0
"AGT"	4514
"AGTPBP1"	5057
"AGTR1"	7
"AGTR2"	0
"AGTRAP"	222
"AGXT"	0
"AGXT2"	0
"AHCTF1"	3390
"AHCTF1P1"	21
"AHCY"	1090
"AHCYL1"	19151
"AHCYL2"	3510
"AHDC1"	1881
"AHI1"	4488
"AHNAK"	31854
"AHNAK2"	4926
"AHR"	988
"AHRR"	228
"AHSA1"	2269
"AHSA2P"	2124
"AHSG"	6
"AHSP"	0
"AICDA"	0
"AIDA"	2082
"AIF1"	282
"AIF1L"	1890
"AIFM1"	510
"AIFM2"	369
"AIFM3"	955
"AIG1"	1048
"AIM2"	20
"AIMP1"	660
"AIMP2"	182
"AIP"	669
"AIPL1"	5
"AIRE"	23
"AIRN"	12
"AJAP1"	1394
"AJM1"	507
"AJUBA"	38
"AK1"	894
"AK2"	1469
"AK3"	1607
"AK4"	2694
"AK5"	9332
"AK6"	266
"AK7"	113
"AK8"	62
"AK9"	475
"AKAIN1"	45
"AKAP1"	2264
"AKAP10"	2193
"AKAP11"	17369
"AKAP12"	11910
"AKAP13"	4298
"AKAP14"	9
"AKAP17A"	294
"AKAP2"	1115
"AKAP3"	84
"AKAP4"	0
"AKAP5"	2408
"AKAP6"	15629
"AKAP7"	635
"AKAP8"	721
"AKAP8L"	2262
"AKAP9"	7863
"AKIP1"	274
"AKIRIN1"	1684
"AKIRIN2"	815
"AKNA"	1031
"AKNAD1"	10
"AKR1A1"	743
"AKR1B1"	1521
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	121
"AKR1C2"	175
"AKR1C3"	253
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	1
"AKR1D1"	0
"AKR1E2"	218
"AKR7A2"	963
"AKR7A2P1"	18
"AKR7A3"	33
"AKR7L"	61
"AKT1"	1769
"AKT1S1"	361
"AKT2"	2129
"AKT3"	12605
"AKTIP"	1530
"ALAD"	1759
"ALAS1"	1270
"ALAS2"	24
"ALB"	25
"ALCAM"	3706
"ALDH16A1"	170
"ALDH18A1"	818
"ALDH1A1"	1190
"ALDH1A2"	79
"ALDH1A3"	215
"ALDH1B1"	306
"ALDH1L1"	3945
"ALDH1L1-AS1"	4
"ALDH1L1-AS2"	40
"ALDH1L2"	655
"ALDH2"	4663
"ALDH3A1"	6
"ALDH3A2"	2689
"ALDH3B1"	51
"ALDH3B2"	0
"ALDH4A1"	1616
"ALDH5A1"	3452
"ALDH6A1"	6075
"ALDH7A1"	2721
"ALDH8A1"	229
"ALDH9A1"	1503
"ALDOA"	22482
"ALDOB"	10
"ALDOC"	19998
"ALG1"	390
